"outcome","respiratory","mean_beta","mean_adj_r2","mean_conditional_r2","significant_models","model1_beta","model1_p","model1_adjR2","model1_condR2","model2_beta","model2_p","model2_adjR2","model2_condR2","model3_beta","model3_p","model3_adjR2","model3_condR2","model4_beta","model4_p","model4_adjR2","model4_condR2"
"fss_sum","sindex_pre_max",-0.356088906110105,0.121640025683782,0.48700844415553,2,-0.4047451455972,0.00768142065900788,0.158159532198984,0.478337921941194,-0.461876671432417,0.00315061284415743,0.251729327708888,0.495678966369867,-0.26304783126592,0.236905803234452,0.0226538696103892,NA,-0.294685976144883,0.18594605985928,0.0540173732168679,NA
"fss_sum","slopesmip_post_max",-0.154150908729583,0.0497698817818165,0.531844809378244,0,-0.320826185773346,0.111888732061906,0.0963813299318964,0.524325936490974,-0.246337291085831,0.23163231039971,0.178407801584444,0.539363682265513,-0.105578381255876,0.697167392431411,-0.0594855772264882,NA,0.0561382231967196,0.843903624981224,-0.016224027162586,NA
"fss_sum","slopesmip_pre_max",-0.167145776718613,0.0431264364469465,0.462204451760227,0,-0.240618491510478,0.200994622685298,0.0564436607967551,0.447818517115534,-0.197941316137634,0.290481217398786,0.169978235306634,0.476590386404919,-0.178600101903331,0.508097333908225,-0.0372521467144138,NA,-0.0514231973230094,0.854158427010897,-0.0166640036011898,NA
"fss_sum","smip_post_max",-0.35375914195923,0.114934856745959,0.554707297620984,2,-0.42159625879287,0.00638949120365188,0.162699625595552,0.544852063155573,-0.461624524555674,0.00338796250346821,0.237347588132784,0.564562532086395,-0.271067153209069,0.222385772996724,0.0271512716263124,NA,-0.260748631279304,0.244185453740066,0.0325409416291852,NA
"fss_sum","smip_pre_max",-0.251558543927185,0.0540039814495534,0.431960208779461,1,-0.298732834031805,0.0704489972970139,0.0846349207110749,0.417705941960221,-0.357148640895806,0.0410387775765042,0.161979744433721,0.4462144755987,-0.177129471638325,0.430357228380606,-0.0170564077909843,NA,-0.173223229142801,0.461858379609364,-0.0135423315555985,NA
"fss_sum","volume_post_max",0.0709599135895813,0.0140681019340862,0.294689763247409,0,-0.0269583909800548,0.864383759014689,0.000711601657883895,0.284016077062146,-0.066845744013343,0.682825427625491,0.075799482534746,0.305363449432673,0.208151226530838,0.352596729828889,-0.00450672023839305,NA,0.169492562820885,0.477922209644633,-0.0157319562178921,NA
"fss_sum","volume_pre_max",0.0941601909125946,0.00401732286381309,0.302475525166987,0,0.16251079601202,0.344041801250482,0.0259429083448229,0.282830359665261,0.0927796764498916,0.669938079113452,0.0764614088307436,0.322120690668712,0.0885445016827614,0.695177055231172,-0.041767864782839,NA,0.0328057895057057,0.907545148126156,-0.0445671609374751,NA
"vas_fatiguecurrent","fit_post_max",-0.0752284655339104,0.00092259415983042,0.0999910315900047,0,-0.104607108233687,0.528810499483871,0.0106388317435922,0.0902103504663845,-0.103409510577089,0.528028372329993,0.0881340245490082,0.109771712713625,-0.0764330501026216,0.73530945117466,-0.0438658882946106,NA,-0.0164641932222436,0.943650401437241,-0.0512165913586682,NA
"vas_fatiguecurrent","fit_pre_max",0.0167609644523063,-0.00402745503369666,0.0938168398125882,0,-0.0242903977014506,0.884133869865579,0.000573322280211091,0.0849232734946901,-0.0098671307682221,0.951932135503453,0.0782379842206034,0.102710406130486,0.03190431769206,0.887913547590475,-0.0489312202382344,NA,0.0692970685868378,0.761323025196643,-0.0459899063973668,NA
"vas_fatiguecurrent","id_post_max",0.0251784289581848,-0.0288797740322547,0.214065375822888,0,0.000603324402792759,0.997671903346475,3.48432902161866e-07,0.191496831128108,0.00427023605615614,0.983766412892429,0.0660543812935531,0.236633920517667,0.0690546590463692,0.799406732732984,-0.0663194150685604,NA,0.0267854963274209,0.925161434446197,-0.115254410786914,NA
"vas_fatiguecurrent","id_pre_max",0.211553796571265,0.0209606155871467,0.247129773724364,0,0.138211807934197,0.498870225830541,0.0182081648835412,0.223398241895691,0.155936870115839,0.458588955273204,0.0865039579618116,0.270861305553036,0.285891512813962,0.28308723218153,0.0161435254632739,NA,0.266174995421062,0.357595158312052,-0.03701318596004,NA
"vas_fatiguecurrent","mip_post_max",-0.127778118355281,0.0306371936684838,0.25839731509005,0,-0.288700557407561,0.0728773080117727,0.0798047446823578,0.250786846840579,-0.281011067453644,0.0888340046517275,0.142354021816592,0.266007783339522,0.0343682023423469,0.879316428180804,-0.0487597680011433,NA,0.0242309490977345,0.916098005427903,-0.0508502238238713,NA
"vas_fatiguecurrent","mip_post_max_percentpredict_1",-0.150881993832245,0.0220308367190805,0.220552436682928,0,-0.233308741951706,0.148594517550585,0.0522830196469032,0.21232310483851,-0.223086580557138,0.169193574005955,0.120143973149022,0.228781768527346,-0.126448370335314,0.574978825895396,-0.0332113501215205,NA,-0.0206842824848234,0.933008232534857,-0.0510922957980828,NA
"vas_fatiguecurrent","mip_post_max_percentpredict_2",-0.128560410762699,0.0237060053726656,0.228852461911109,0,-0.260787217796806,0.10663026174535,0.0653534276678594,0.222434932418256,-0.229140990172162,0.160733798454038,0.121905845675059,0.235269991403962,-0.0774445997424697,0.731930287741918,-0.0437024506692651,NA,0.0531311646606428,0.82943097088011,-0.0487328011829904,NA
"vas_fatiguecurrent","mip_pre_max",-0.263335398010323,0.0778835854151281,0.411633694411911,2,-0.418055702665849,0.00728074541451419,0.163404685707007,0.403469126484803,-0.425565354308068,0.00761033968114246,0.224073426185967,0.419798262339019,-0.0835656849691455,0.711586522090613,-0.0426676151104195,NA,-0.126154850098231,0.579915906249239,-0.0332761551220415,NA
"vas_fatiguecurrent","mip_pre_max_percentpredict_1",-0.267875016569787,0.0700381465747208,0.375650171257577,2,-0.373113830723033,0.0173662409282962,0.130514643677605,0.367052860465054,-0.374424054451842,0.0172685577404647,0.196049545625904,0.3842474820501,-0.19811042823371,0.376811766912253,-0.0087898711363088,NA,-0.125851752870564,0.629388335681962,-0.0376217318683172,NA
"vas_fatiguecurrent","mip_pre_max_percentpredict_2",-0.231411729821646,0.0620228983826425,0.360792468477961,2,-0.381105009381511,0.015660170086248,0.137091285898172,0.352555389998068,-0.361642834283316,0.0228442082731152,0.187426504998494,0.369029546957854,-0.15182130320465,0.500016090082046,-0.0257978064879039,NA,-0.0310777724171077,0.903189056277385,-0.0506283908781917,NA
"vas_fatiguecurrent","pif_post_max",-0.221887646019871,0.0448480124154469,0.281845689181926,0,-0.309317813414397,0.0623825929611017,0.0908193270208748,0.266643898411021,-0.344913008724052,0.050671458335261,0.158124124232,0.297047479952831,-0.0801409225098627,0.722946558421168,-0.0432563041662317,NA,-0.153178839431171,0.5144199306616,-0.0262950974248553,NA
"vas_fatiguecurrent","pif_pre_max",-0.201215734389659,0.040109576374826,0.311012324752551,1,-0.310229610381763,0.0596372762566216,0.0904148079772116,0.299207223792339,-0.341645553349478,0.0471527361573019,0.157281887672529,0.322817425712763,-0.0541977251909823,0.810681639522552,-0.0469157369133288,NA,-0.098790048636411,0.665391507364511,-0.0403426532371083,NA
"vas_fatiguecurrent","sindex_post_max",-0.20836716481064,0.0407671563848964,0.277036139368984,0,-0.303885564482562,0.067803538428408,0.08769222717505,0.261756464585279,-0.343145279554135,0.0547367684407347,0.155217984876851,0.292315814152689,-0.0527782001576119,0.815556616102367,-0.0470751846675292,NA,-0.133659615048251,0.574621761083097,-0.032766401844786,NA
"vas_fatiguecurrent","sindex_pre_max",-0.205516735744631,0.0420896655073363,0.324078544617794,1,-0.317941101131282,0.0527828946420157,0.0946640341620937,0.31205296105983,-0.351502557371468,0.0414262866834835,0.160992783029719,0.336104128175759,-0.0537831211459383,0.812104793512062,-0.0469627446737915,NA,-0.0988401633298369,0.665289128849387,-0.0403354104886755,NA
