outcome,resp_type,n,r_pre,r_pre_ci_low,r_pre_ci_high,r_post,r_post_ci_low,r_post_ci_high,r_diff,r_diff_ci_low,r_diff_ci_high,r_xprepost,t_steiger,p_steiger_two,direction_H1,p_steiger_one
dsq_sum,mip_pp_5,22,-0.127864465683235,-0.521366691755707,0.31048165566016,-0.355870570419268,-0.676046349141917,0.0773421393277995,-0.228006104736034,-0.588538275227199,0.149220384130285,0.663466967814794,1.31071267041504,0.205577698319913,post_stronger,0.102788849159957
dsq_sum,sindex_pp,22,-0.351344394642871,-0.673227770400664,0.0824821073713487,-0.561245796273314,-0.7947869996231,-0.182921272714471,-0.209901401630443,-0.617982301239399,0.194016483866786,0.672501411631846,1.36116498287013,0.189387939903149,post_stronger,0.0946939699515745
dsq_freq_sum,mip,22,-0.154850584803657,-0.541130608548437,0.285389918026091,-0.399038045455577,-0.702465272814449,0.027135642497428,-0.24418746065192,-0.500908534207162,0.0231277808870218,0.763143018654607,1.74186940462765,0.0976973126326844,post_stronger,0.0488486563163422
dsq_freq_sum,smip,22,-0.0765312148173037,-0.482568990920067,0.356582806565507,-0.171583523454602,-0.553174722935865,0.269522464990339,-0.0950523086372978,-0.342461209863478,0.136436727220024,0.91525438335958,1.04321296248711,0.309942147832979,post_stronger,0.15497107391649
dsq_freq_sum,fit,22,-0.0233751767221013,-0.440641030467615,0.40219699065016,-0.0633020935929955,-0.472305326540223,0.368131298081876,-0.0399269168708942,-0.300286496450097,0.209740912197273,0.918594724704467,0.433877491803858,0.669264035919477,post_stronger,0.334632017959739
dsq_freq_sum,id,16,-0.0858003186350211,-0.557782235556793,0.428113390899555,-0.057693317702859,-0.538012101270249,0.450907462832165,0.0281070009321621,-0.329888082952059,0.338430022316116,0.838235294117647,-0.17888577213368,0.86078521623966,pre_stronger_or_equal,0.56960739188017
dsq_freq_sum,slopesmip,16,-0.28994590435283,-0.686921557873365,0.240296728873779,-0.208583533233413,-0.638292039083354,0.320232551613494,0.0813623711194165,-0.280822285205871,0.423474783678683,0.723529411764706,-0.411947770596973,0.68708939164588,pre_stronger_or_equal,0.65645530417706
dsq_freq_sum,sindex,22,-0.283442764063534,-0.629790118176813,0.156917632286315,-0.47808764940239,-0.748769732596221,-0.0707374532790502,-0.194644885338857,-0.590361011664033,0.193043182763628,0.660041065815283,1.16942711843818,0.256693561940921,post_stronger,0.12834678097046
dsq_freq_sum,pif,22,-0.270394314874227,-0.62118710439325,0.170670679416395,-0.43265016371963,-0.72247305028463,-0.0135051833461734,-0.162255848845402,-0.513557052954359,0.210444667332547,0.668764411495528,0.96203585552391,0.348116295353077,post_stronger,0.174058147676539
dsq_freq_sum,volume,22,0.0606319409705815,-0.370446199296385,0.470220178357384,0.107416988224201,-0.3290955061704,0.506104997723388,0.0467850472536195,-0.235120153673634,0.313417260289482,0.823196194406536,-0.345348992717481,0.733626032147511,post_stronger,0.366813016073756
dsq_freq_sum,mip_pp_1,22,-0.380388482536376,-0.691153231715995,0.0490933026087796,-0.498870141031313,-0.760520032838656,-0.0978402184537052,-0.118481658494937,-0.448311693759085,0.202217253685455,0.680406549971767,0.744259262317827,0.465825615472819,post_stronger,0.232912807736409
dsq_freq_sum,mip_pp_2,22,-0.367349831123058,-0.683153043225921,0.0642020943458303,-0.474493531867283,-0.746720236281687,-0.0661105279047872,-0.107143700744225,-0.386898163695963,0.188948926241715,0.743647656691135,0.739751157581241,0.46849347851433,post_stronger,0.234246739257165
dsq_freq_sum,mip_pp_3,22,-0.147960348646787,-0.536124626757737,0.291854362326489,-0.357712567034953,-0.677190736843199,0.0752437369167524,-0.209752218388166,-0.555316670935944,0.147282745982826,0.722190852625635,1.33207747394421,0.198593630182993,post_stronger,0.0992968150914964
dsq_freq_sum,mip_pp_4,22,-0.147960348646787,-0.536124626757737,0.291854362326489,-0.357712567034953,-0.677190736843199,0.0752437369167524,-0.209752218388166,-0.555316670935944,0.147282745982826,0.722190852625635,1.33207747394421,0.198593630182993,post_stronger,0.0992968150914964
dsq_freq_sum,mip_pp_5,22,-0.14115757399636,-0.531155258191061,0.298197572245527,-0.331635264208316,-0.660844308718231,0.104598115023067,-0.190477690211956,-0.575068870365357,0.218946467207283,0.663466967814794,1.07844015262802,0.29433899454773,post_stronger,0.147169497273865
dsq_freq_sum,sindex_pp,22,-0.351476690272061,-0.673310287581799,0.0823321979313934,-0.539119891046339,-0.782799881824024,-0.152078509085952,-0.187643200774278,-0.571726431392808,0.218218119457233,0.672501411631846,1.19529179293783,0.246679574798629,post_stronger,0.123339787399315
dsq_severity_sum,mip,22,-0.0527663162833972,-0.464051145102689,0.3772343595136,-0.39603106199797,-0.700651670710197,0.0307040396265252,-0.343264745714573,-0.592162796333324,-0.0977813271073315,0.763143018654607,2.60793598735202,0.0172898110501804,post_stronger,0.00864490552509019
dsq_severity_sum,smip,22,-0.0374259126090454,-0.451903733908575,0.390341768601989,-0.163689056427528,-0.54751221328111,0.277038566856809,-0.126263143818482,-0.359496433782089,0.0905777364323252,0.91525438335958,1.41277105992162,0.173895083791168,post_stronger,0.0869475418955842
dsq_severity_sum,fit,22,0.037639045952928,-0.390160839759187,0.452073564682722,-0.0339418637363244,-0.449123277259624,0.393294699684868,-0.0715809096892525,-0.31629946470297,0.178304536684016,0.918594724704467,0.785737075401267,0.441710784297121,pre_stronger_or_equal,0.77914460785144
dsq_severity_sum,id,16,-0.0295643276805015,-0.517682913559196,0.473073993677024,-0.038433625984652,-0.524152923644259,0.466152730637496,-0.00886929830415047,-0.293694881522054,0.236809363442151,0.838235294117647,0.0562637457709944,0.955987262709533,post_stronger,0.477993631354767
dsq_severity_sum,slopesmip,16,-0.159647369474708,-0.607292735271028,0.364938480797421,-0.260166083588414,-0.66952557004618,0.270413289229865,-0.100518714113705,-0.445153190486486,0.251169978922843,0.723529411764706,0.505010658943125,0.622003607601911,post_stronger,0.311001803800955
dsq_severity_sum,sindex,22,-0.128693514188224,-0.521980216177004,0.309719793689931,-0.415599219798352,-0.712383694805773,0.00728585574765539,-0.286905705610128,-0.70185578648205,0.123721090263414,0.660041065815283,1.70417978078522,0.104647014916879,post_stronger,0.0523235074584393
dsq_severity_sum,pif,22,-0.118402518583772,-0.514335589007676,0.319137093029394,-0.361691173767105,-0.679657285190089,0.0706981844682187,-0.243288655183334,-0.616336850644548,0.158590941198768,0.668764411495528,1.41880330794381,0.172152754068953,post_stronger,0.0860763770344763
dsq_severity_sum,volume,22,0.12756264236902,-0.310758879292185,0.521143231058007,0.123365728029156,-0.314606017397385,0.518030362589952,-0.00419691433986423,-0.285119197670792,0.279664408103079,0.823196194406536,0.031032197583835,0.97556752544851,pre_stronger_or_equal,0.512216237275745
dsq_severity_sum,mip_pp_1,22,-0.243268431958795,-0.603027908845831,0.198721713896907,-0.488238041763455,-0.7545300395042,-0.0839000177472594,-0.244969609804661,-0.552605201642644,0.0571945022158208,0.680406549971767,1.54162203781733,0.13965627387458,post_stronger,0.0698281369372899
dsq_severity_sum,mip_pp_2,22,-0.246670787650526,-0.605326222802655,0.195242593692571,-0.484268626789769,-0.752282287363133,-0.0787358068982659,-0.237597839139242,-0.494738833666323,0.00916698920057259,0.743647656691135,1.68257307727046,0.108819274398536,post_stronger,0.0544096371992681
dsq_severity_sum,mip_pp_3,22,-0.0238164898421198,-0.440996785112056,0.401826793605924,-0.340802628455095,-0.666626647565795,0.094364624698368,-0.316986138612975,-0.623547463541538,-0.00521976673822087,0.722190852625635,2.09719543098878,0.0495890036386849,post_stronger,0.0247945018193425
dsq_severity_sum,mip_pp_4,22,-0.0238164898421198,-0.440996785112056,0.401826793605924,-0.340802628455095,-0.666626647565795,0.094364624698368,-0.316986138612975,-0.623547463541538,-0.00521976673822087,0.722190852625635,2.09719543098878,0.0495890036386849,post_stronger,0.0247945018193425
dsq_severity_sum,mip_pp_5,22,-0.0368588533270901,-0.451451738419658,0.390822984244473,-0.346473221274647,-0.67018386524693,0.0879881919529443,-0.309614367947557,-0.644024630345288,0.0301528629350433,0.663466967814794,1.82269109507614,0.0841270915592663,post_stronger,0.0420635457796332
dsq_severity_sum,sindex_pp,22,-0.313016723639289,-0.648979080241527,0.125101419442311,-0.557419274161994,-0.792726861269031,-0.177533434545889,-0.244402550522705,-0.648035059911232,0.151052804659408,0.672501411631846,1.58720590826791,0.128968586525522,post_stronger,0.0644842932627611
